157,Wahl der Grossratssuppleanten Wallis,2017-03-05,https://www.smartvote.ch/17_vs_sup/election/index
158,Staatsratswahlen Wallis,2017-03-05,https://www.smartvote.ch/17_vs_exe/election/index
159,Elections au Grand Conseil neuchâtelois,2017-04-02,https://www.smartvote.ch/17_ne_leg/election/index
160,Elections au Conseil d'Etat neuchâtelois,2017-04-02,https://www.smartvote.ch/17_ne_exe/election/index
161,Staatsratswahlen Wallis 2. Wahlgang,2017-03-19,https://www.smartvote.ch/17_vs_exe_2/election/index
162,Elections au Grand Conseil vaudois,2017-04-30,https://www.smartvote.ch/17_vd_leg/election/index
163,Regierungsratswahlen Solothurn 2. Wahlgang,2017-04-23,https://www.smartvote.ch/17_so_exe2/election/index
164,Wahlen HES-SO: Studierende,2017-06-08,https://www.smartvote.ch/17_hes_so_cc/election/index
166,Wahlen HES-SO: Mittelbau,2017-06-08,https://www.smartvote.ch/17_hes_so_inter/election/index
167,Wahlen HES-SO: Lehr- und Forschungskörper,2017-06-08,https://www.smartvote.ch/17_hes_so_en/election/index
168,Party Compass,2017-01-01,https://www.smartvote.ch/pk/election/index
169,Stadtratswahlen Baden,2017-09-24,https://www.smartvote.ch/17_baden_exe/election/index
171,Einwohnerratswahlen Stadt Baden,2017-09-24,https://www.smartvote.ch/17_baden_leg/election/index
172,Gemeinderatswahlen Köniz,2017-09-24,https://www.smartvote.ch/17_koeniz_exe/election/index
173,Gemeindeparlamentswahlen Köniz,2017-09-24,https://www.smartvote.ch/17_koeniz_leg/election/index
174,Wahl des Gemeindepräsidiums Köniz,2017-09-24,https://www.smartvote.ch/17_koeniz_praes/election/index
175,Einwohnerratswahlen Stadt Aarau,2017-11-26,https://www.smartvote.ch/17_aarau_leg/election/index
176,Wahl des Gemeindepräsidiums Köniz 2. Wahlgang,2017-10-22,https://www.smartvote.ch/17_koeniz_praes2/election/index
177,Wahl des Stadtammanns Baden 2. Wahlgang,2017-11-26,https://www.smartvote.ch/17_baden_praes/election/index
178,Grossratswahlen Kanton Bern,2018-03-25,https://www.smartvote.ch/18_be_leg/election/index
179,Wahlen Grosser Gemeinderat Winterthur,2018-03-04,https://www.smartvote.ch/18_winterthur_leg/election/index
180,Stadtratswahlen Winterthur,2018-03-04,https://www.smartvote.ch/18_winterthur_exe/election/index
181,Gemeinderatswahlen Zürich,2018-03-04,https://www.smartvote.ch/18_st_zuerich_leg/election/index
182,Stadtratswahlen Zürich,2018-03-04,https://www.smartvote.ch/18_st_zuerich_exe/election/index
183,Regierungsratswahlen Kanton Bern,2018-03-25,https://www.smartvote.ch/18_be_exe/election/index
184,Gemeinderatswahlen Bülach,2018-04-15,https://www.smartvote.ch/18_buelach_leg/election/index
185,Stadtratswahlen Bülach,2018-04-15,https://www.smartvote.ch/18_buelach_exe/election/index
186,Wahlen Grosser Gemeinderat Wetzikon,2018-04-22,https://www.smartvote.ch/18_wetzikon_leg/election/index
187,Stadtratswahlen Wetzikon,2018-04-22,https://www.smartvote.ch/18_wetzikon_exe/election/index
188,Election du Conseil d'Etat genevois,2018-04-15,https://www.smartvote.ch/18_ge_exe/election/index
189,Election du Grand Conseil genevois,2018-04-15,https://www.smartvote.ch/18_ge_leg/election/index
190,Grossratswahlen (Kreiswahlen) Graubünden,2018-06-10,https://www.smartvote.ch/18_gr_leg/election/index
191,Landratswahlen Kanton Glarus,2018-06-10,https://www.smartvote.ch/18_gl_leg/election/index
192,Regierungsratswahlen Graubünden,2018-06-10,https://www.smartvote.ch/18_gr_exe/election/index
193,Election du Conseil d'Etat genevois second tour,2018-05-06,https://www.smartvote.ch/18_ge_exe2/election/index
194,Stadtratswahlen Wetzikon 2. Wahlgang,2018-06-10,https://www.smartvote.ch/18_wetzikon_exe2/election/index
